,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
38,40.7813911,-73.97161471,18A-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
39,40.79287118,-73.95354107,36H-PM-1008-02,PM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
40,40.78917746,-73.96391593,29C-AM-1007-06,AM,2018-10-07,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,0,1
41,40.79593378,-73.95795643,38C-PM-1014-09,PM,2018-10-14,Adult,Black,Ground Plane,,0,0,0,1,0,,0,0,0,0,0,1,0,0
42,40.78925084,-73.95746481,31H-PM-1008-02,PM,2018-10-08,Juvenile,Gray,Above Ground,,1,0,1,0,0,,0,0,0,0,1,0,1,0
43,40.77059996,-73.97025268,8H-AM-1017-06,AM,2018-10-17,Adult,Gray,Above Ground,,0,1,0,1,0,,0,0,0,0,0,0,1,0
44,40.79186135,-73.95796459,34F-AM-1007-01,AM,2018-10-07,Adult,Gray,Above Ground,,1,0,1,0,0,,0,0,0,0,0,0,0,1
45,40.77495053,-73.96732534,13H-PM-1010-02,PM,2018-10-10,Adult,Gray,Above Ground,tree,0,0,0,0,1,,0,0,0,0,0,0,1,0
46,40.78203098,-73.96400328,22F-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,1,0,1,0
47,40.79058473,-73.95959332,32E-AM-1007-13,AM,2018-10-07,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
48,40.7937797,-73.96022221,35C-AM-1007-05,AM,2018-10-07,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
49,40.77924987,-73.96806351,17E-AM-1017-05,AM,2018-10-17,Adult,Black,Above Ground,Branch,0,0,0,0,1,,0,0,0,0,0,0,1,0
50,40.76869053,-73.98016664,2B-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,1,0,0,0,0,running (with nut),0,0,0,0,0,0,0,0
51,40.78134774,-73.96756343,19D-AM-1007-01,AM,2018-10-07,Juvenile,Gray,Ground Plane,,0,0,1,1,0,,0,0,0,0,0,0,0,0
52,40.79828863,-73.95849706,40B-AM-1019-03,AM,2018-10-19,Juvenile,Gray,Ground Plane,,1,1,0,0,0,,0,0,0,0,1,1,0,0
53,40.76819544,-73.97602982,3E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,0,0,1,0
54,40.79723991,-73.95688021,39C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,1,0,0,0,1,,0,0,0,0,0,0,1,0
55,40.76905264,-73.97246424,6G-AM-1008-02,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,0,0,0,0,1,,0,0,0,0,0,0,1,0
56,40.77604327,-73.96901758,14F-AM-1007-05,AM,2018-10-07,Juvenile,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,0,0,0,1,0
57,40.7690281,-73.97040828,6I-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,0,0,playing with #5,0,0,0,0,1,0,0,0
58,40.77688116,-73.96849107,15F-PM-1010-05,PM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
59,40.77352326,-73.97686748,8B-PM-1012-02,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,0,0,0,0,1,,0,0,0,0,0,0,0,1
60,40.76988852,-73.97970849,3A-PM-1017-06,PM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,1
61,40.79231304,-73.95281927,36I-AM-1017-02,AM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
62,40.76926026,-73.974563,5E-AM-1008-06,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,1,0,0
63,40.79033658,-73.95950023,32E-PM-1017-13,PM,2018-10-17,Adult,Gray,,,0,0,0,1,1,,0,0,0,0,0,0,1,0
64,40.76894867,-73.9741825,5F-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,0,0,hiding nut,0,0,0,0,1,0,1,0
65,40.77613936,-73.97492439,11B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
66,40.77801434,-73.96838133,16E-PM-1018-06,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,0,0,0,0,1,,0,0,0,0,1,0,1,0
67,40.77558981,-73.96942403,13F-AM-1007-02,AM,2018-10-07,Adult,Cinnamon,,,0,0,0,1,1,,0,0,0,0,0,0,1,0
68,40.78283647,-73.9689001,20B-PM-1013-10,PM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,0,1,drank from a pond of rain water,0,0,0,0,0,0,1,0
69,40.76967537,-73.98045289,3A-PM-1017-05,PM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,0
70,40.78738625,-73.9576246,29H-PM-1006-01,PM,2018-10-06,Adult,Gray,Above Ground,,0,0,1,0,0,sitting,0,0,0,0,0,0,1,0
